Temperature (K)	Pressure (bar)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
285.62	5.9475e-05	754.96	0.0013246	-88.586	-88.586	-230.76	301.78	370.19	1331.6	-0.043779	1722.0	0.13832	0.026013	0.00042660	2344.1	-28.141	-25.766	-10.816	260.54	268.85	119.94	23.043	4.1807	0.0078928
285.68	5.9810e-05	754.91	0.0013247	-88.563	-88.563	-230.68	301.81	370.22	1331.4	-0.043774	1719.9	0.13831	0.026007	0.00042892	2331.5	-28.125	-25.750	-10.806	260.58	268.90	119.95	23.022	4.1816	0.0078962
285.74	6.0147e-05	754.87	0.0013247	-88.541	-88.541	-230.60	301.85	370.25	1331.1	-0.043769	1717.7	0.13829	0.026002	0.00043124	2318.9	-28.109	-25.733	-10.796	260.63	268.94	119.97	23.000	4.1826	0.0078997
285.80	6.0485e-05	754.82	0.0013248	-88.518	-88.518	-230.52	301.88	370.28	1330.9	-0.043763	1715.6	0.13828	0.025997	0.00043357	2306.4	-28.093	-25.717	-10.785	260.67	268.99	119.98	22.978	4.1836	0.0079031
285.86	6.0825e-05	754.78	0.0013249	-88.496	-88.496	-230.44	301.92	370.31	1330.6	-0.043758	1713.5	0.13826	0.025991	0.00043592	2294.0	-28.077	-25.701	-10.775	260.72	269.04	119.99	22.956	4.1846	0.0079065
285.93	6.1167e-05	754.73	0.0013250	-88.474	-88.474	-230.36	301.96	370.34	1330.4	-0.043753	1711.4	0.13825	0.025986	0.00043828	2281.7	-28.062	-25.684	-10.764	260.76	269.08	120.00	22.934	4.1855	0.0079100
285.99	6.1511e-05	754.69	0.0013251	-88.451	-88.451	-230.29	301.99	370.37	1330.1	-0.043748	1709.3	0.13823	0.025981	0.00044065	2269.4	-28.046	-25.668	-10.754	260.81	269.13	120.02	22.913	4.1865	0.0079134
286.05	6.1856e-05	754.64	0.0013251	-88.429	-88.429	-230.21	302.03	370.40	1329.9	-0.043743	1707.2	0.13822	0.025975	0.00044303	2257.2	-28.030	-25.652	-10.743	260.85	269.17	120.03	22.891	4.1875	0.0079168
286.11	6.2203e-05	754.60	0.0013252	-88.406	-88.406	-230.13	302.06	370.44	1329.6	-0.043737	1705.1	0.13820	0.025970	0.00044542	2245.1	-28.014	-25.635	-10.733	260.90	269.22	120.04	22.869	4.1885	0.0079203
286.17	6.2552e-05	754.55	0.0013253	-88.384	-88.384	-230.05	302.10	370.47	1329.4	-0.043732	1703.0	0.13819	0.025965	0.00044782	2233.0	-27.998	-25.619	-10.722	260.95	269.26	120.05	22.848	4.1894	0.0079237
286.23	6.2903e-05	754.51	0.0013254	-88.361	-88.361	-229.97	302.14	370.50	1329.1	-0.043727	1700.9	0.13817	0.025960	0.00045024	2221.0	-27.982	-25.603	-10.712	260.99	269.31	120.07	22.826	4.1904	0.0079271
286.29	6.3255e-05	754.46	0.0013254	-88.339	-88.339	-229.89	302.17	370.53	1328.9	-0.043722	1698.8	0.13816	0.025954	0.00045267	2209.1	-27.967	-25.586	-10.701	261.04	269.35	120.08	22.805	4.1914	0.0079306
